# Converted file from inputfile Wuerfel_2_Proj_5.CHN
# MCA number or Detector number: 1
# Segment number (set to 1 in UMCBI): 1
# ASCII seconds of start time: 12337
# Real Time (s): 300.000
# Live Time (s) : 297.800
# Start Date (DDMMMYY): 03APR00
# Start time (HHMM): 2355
# Channel offset of data: 0
# Number of channels (length of data): 1024

# Data: 

0 	 0
1 	 0
2 	 0
3 	 0
4 	 0
5 	 0
6 	 0
7 	 0
8 	 0
9 	 2
10 	 4
11 	 7
12 	 10
13 	 4
14 	 12
15 	 19
16 	 10
17 	 16
18 	 23
19 	 13
20 	 20
21 	 5
22 	 19
23 	 19
24 	 15
25 	 11
26 	 18
27 	 18
28 	 19
29 	 18
30 	 23
31 	 19
32 	 19
33 	 26
34 	 25
35 	 38
36 	 33
37 	 24
38 	 26
39 	 35
40 	 30
41 	 27
42 	 49
43 	 47
44 	 47
45 	 38
46 	 47
47 	 46
48 	 42
49 	 58
50 	 45
51 	 57
52 	 50
53 	 48
54 	 57
55 	 56
56 	 45
57 	 59
58 	 70
59 	 47
60 	 56
61 	 52
62 	 41
63 	 56
64 	 51
65 	 52
66 	 44
67 	 53
68 	 60
69 	 43
70 	 54
71 	 48
72 	 39
73 	 55
74 	 45
75 	 39
76 	 55
77 	 45
78 	 46
79 	 40
80 	 41
81 	 43
82 	 54
83 	 71
84 	 34
85 	 37
86 	 51
87 	 46
88 	 41
89 	 40
90 	 43
91 	 47
92 	 37
93 	 33
94 	 47
95 	 47
96 	 51
97 	 40
98 	 45
99 	 41
100 	 39
101 	 34
102 	 38
103 	 44
104 	 40
105 	 39
106 	 34
107 	 26
108 	 35
109 	 27
110 	 28
111 	 30
112 	 27
113 	 32
114 	 21
115 	 30
116 	 26
117 	 30
118 	 24
119 	 28
120 	 15
121 	 20
122 	 30
123 	 22
124 	 17
125 	 23
126 	 29
127 	 17
128 	 36
129 	 28
130 	 25
131 	 17
132 	 21
133 	 26
134 	 32
135 	 24
136 	 20
137 	 26
138 	 23
139 	 21
140 	 28
141 	 25
142 	 20
143 	 26
144 	 22
145 	 24
146 	 13
147 	 26
148 	 12
149 	 23
150 	 24
151 	 13
152 	 21
153 	 15
154 	 24
155 	 21
156 	 15
157 	 19
158 	 12
159 	 13
160 	 11
161 	 25
162 	 15
163 	 21
164 	 15
165 	 18
166 	 16
167 	 13
168 	 14
169 	 15
170 	 19
171 	 14
172 	 13
173 	 15
174 	 18
175 	 11
176 	 13
177 	 18
178 	 16
179 	 16
180 	 18
181 	 19
182 	 11
183 	 8
184 	 16
185 	 8
186 	 17
187 	 15
188 	 15
189 	 9
190 	 14
191 	 15
192 	 18
193 	 14
194 	 13
195 	 11
196 	 12
197 	 12
198 	 9
199 	 14
200 	 10
201 	 11
202 	 4
203 	 7
204 	 13
205 	 10
206 	 13
207 	 10
208 	 11
209 	 9
210 	 8
211 	 10
212 	 14
213 	 7
214 	 7
215 	 6
216 	 8
217 	 7
218 	 7
219 	 11
220 	 5
221 	 4
222 	 11
223 	 12
224 	 10
225 	 8
226 	 6
227 	 14
228 	 4
229 	 11
230 	 10
231 	 11
232 	 11
233 	 7
234 	 9
235 	 18
236 	 11
237 	 5
238 	 9
239 	 8
240 	 8
241 	 7
242 	 11
243 	 14
244 	 6
245 	 8
246 	 13
247 	 12
248 	 13
249 	 7
250 	 12
251 	 13
252 	 23
253 	 16
254 	 27
255 	 24
256 	 27
257 	 26
258 	 31
259 	 29
260 	 37
261 	 41
262 	 35
263 	 39
264 	 41
265 	 44
266 	 47
267 	 56
268 	 35
269 	 51
270 	 32
271 	 45
272 	 26
273 	 41
274 	 36
275 	 32
276 	 27
277 	 24
278 	 25
279 	 15
280 	 21
281 	 23
282 	 18
283 	 9
284 	 9
285 	 11
286 	 6
287 	 8
288 	 6
289 	 7
290 	 5
291 	 5
292 	 8
293 	 9
294 	 6
295 	 6
296 	 8
297 	 1
298 	 3
299 	 4
300 	 6
301 	 1
302 	 2
303 	 5
304 	 3
305 	 2
306 	 2
307 	 4
308 	 2
309 	 3
310 	 4
311 	 2
312 	 2
313 	 7
314 	 1
315 	 0
316 	 5
317 	 5
318 	 4
319 	 4
320 	 3
321 	 1
322 	 0
323 	 2
324 	 2
325 	 2
326 	 0
