#Photon    Incoher. Photoel. Tot. w/  
#Energy    Scatter. Absorb.  Coherent 
8.000E-01 6.575E-02 5.650E-04 6.699E-02 
1.000E+00 5.916E-02 3.514E-04 5.995E-02 
1.022E+00 5.853E-02 3.335E-04 5.928E-02 
1.250E+00 5.292E-02 2.256E-04 5.350E-02 
1.500E+00 4.811E-02 1.627E-04 4.883E-02 
2.000E+00 4.107E-02 1.003E-04 4.265E-02 
2.044E+00 4.057E-02 9.692E-05 4.224E-02 
3.000E+00 3.232E-02 5.448E-05 3.621E-02 
4.000E+00 2.697E-02 3.670E-05 3.312E-02 
5.000E+00 2.329E-02 2.747E-05 3.146E-02 
6.000E+00 2.059E-02 2.188E-05 3.057E-02 
7.000E+00 1.850E-02 1.815E-05 3.011E-02 
